ticker,overall_cagr,overall_vol,max_drawdown,us_down_months,us_down_mean_monthly_ret,us_down_outperf_rate,qual_score_0_1,score
INDA,0.04897132282015271,0.1967239325653975,-0.3398869732631402,13,-0.007989617688434715,0.6153846153846154,0.525,0.09001861054117484
QAT,-0.00998316723376691,0.19312909239203624,-0.42783099794810897,12,-0.0028329761640140025,0.6666666666666666,,0.07846980152637423
KSA,0.08808122816522368,0.19608630938640423,-0.30477115522171105,11,-0.02228388346524144,0.45454545454545453,0.775,0.056980763430708396
EPU,0.006080559446865363,0.24709569477941357,-0.5661087278279842,18,-0.009665428391059414,0.6111111111111112,,0.036601944772787
EWW,0.048606722454927365,0.2291782013253016,-0.612237699526107,32,-0.01571484756178885,0.5625,0.5750000000000001,0.019182529438302176
EIDO,-0.028294760495748195,0.23139351770086666,-0.5382237156620213,17,-0.02688207867212375,0.5294117647058824,,0.00971115250085458
UAE,-0.0024279797069485243,0.21842402540752257,-0.5474733310741482,12,-0.015969270277026975,0.5,,0.008753428718317274
ECH,-0.011041512627814054,0.2533344906889665,-0.6824133821103675,32,-0.005196761787965801,0.5,,-0.015217608031431934
EWZ,-0.0017684149859169551,0.3282065090580824,-0.7364446373629072,32,-0.019760093333517276,0.53125,,-0.022645727053875922
VNM,-0.036366598969252206,0.24369935649454036,-0.5687968729171771,17,-0.02797849276715627,0.4117647058823529,,-0.027464585065097538
