drawdown_trigger,vix_min,fwd_days,ticker,n,mean,median,win_rate,outperf_rate_vs_spx,spx_mean,spx_median,spx_win_rate
-0.05,,63,ECH,66.0,0.01649680799516238,0.007069520118965444,0.5303030303030303,0.36923076923076925,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,EIDO,52.0,0.03588305137562488,0.03115531752296763,0.6346153846153846,0.37254901960784315,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,EPU,57.0,0.050158825532281966,0.031588247723067786,0.6491228070175439,0.44642857142857145,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,EWW,69.0,0.037999818340456376,0.052741405376384165,0.6376811594202898,0.5362318840579711,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,EWZ,69.0,0.03176444901480671,0.014542101539946062,0.5507246376811594,0.4492753623188406,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,INDA,42.0,0.023523280337227274,0.021144571172650117,0.6190476190476191,0.4634146341463415,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,KSA,32.0,0.009232921988593313,0.0012915177247776466,0.5,0.3225806451612903,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,QAT,34.0,0.016058375597545936,0.025795285986298433,0.6176470588235294,0.36363636363636365,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,UAE,34.0,0.00981761698307521,0.02086346469550504,0.5588235294117647,0.2727272727272727,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,63,VNM,56.0,0.001594369924101724,0.0006663275576296313,0.5,0.2909090909090909,0.028761296338144077,0.04302735929699719,0.7101449275362319
-0.05,,126,ECH,66.0,0.03558585524904131,0.034365184341541566,0.5909090909090909,0.4307692307692308,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,EIDO,52.0,0.053983924473178124,0.019289485569077836,0.6153846153846154,0.35294117647058826,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,EPU,57.0,0.09286174422448862,0.06429723750000926,0.6666666666666666,0.48214285714285715,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,EWW,69.0,0.06975976517576059,0.06767039267520492,0.6376811594202898,0.5942028985507246,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,EWZ,69.0,0.06125720013419968,0.06860777338019508,0.6376811594202898,0.4782608695652174,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,INDA,42.0,0.05551014390729821,0.0445058052782934,0.6190476190476191,0.3902439024390244,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,KSA,32.0,0.03832295783461474,0.013140318198169632,0.53125,0.3870967741935484,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,QAT,34.0,0.030099623757407913,0.047009224151034146,0.6176470588235294,0.2727272727272727,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,UAE,34.0,0.022157136959199086,0.010489343672274054,0.5294117647058824,0.30303030303030304,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,126,VNM,56.0,0.008425173627975837,-0.011692041150841381,0.4642857142857143,0.3090909090909091,0.05647243387800176,0.0892138927189765,0.7681159420289855
-0.05,,252,ECH,64.0,0.05608045131430511,0.021122780471745317,0.515625,0.4126984126984127,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,EIDO,50.0,0.04128718414538648,0.0120642168695686,0.54,0.30612244897959184,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,EPU,55.0,0.12684191740607131,0.09068269890507108,0.6181818181818182,0.4444444444444444,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,EWW,67.0,0.10702608888207979,0.06925593803872077,0.582089552238806,0.43283582089552236,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,EWZ,67.0,0.09458759550847563,0.029144088688617176,0.5522388059701493,0.34328358208955223,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,INDA,40.0,0.11164275564156942,0.060995295561614093,0.75,0.358974358974359,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,KSA,30.0,0.07374095104724794,0.029858357888927545,0.5666666666666667,0.3103448275862069,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,QAT,32.0,0.02573201651896459,0.0005873889773796437,0.5,0.25806451612903225,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,UAE,32.0,0.035381334598108605,-0.004222702435380976,0.5,0.22580645161290322,0.10709869101017716,0.13765698124245174,0.8208955223880597
-0.05,,252,VNM,54.0,-0.01257805307105753,-0.02130449055076994,0.46296296296296297,0.09433962264150944,0.10709869101017716,0.13765698124245174,0.8208955223880597
