drawdown_trigger,vix_min,fwd_days,ticker,n,mean,median,win_rate,outperf_rate_vs_spx,spx_mean,spx_median,spx_win_rate
-0.05,25.0,63,ECH,23.0,0.04964677081498721,0.065099934868043,0.6521739130434783,0.4090909090909091,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,EIDO,14.0,0.05278498215578769,0.08007901174442988,0.6428571428571429,0.46153846153846156,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,EPU,16.0,0.13372119730027454,0.10521625182863736,0.75,0.6,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,EWW,23.0,0.04144569320567197,0.08081430163138115,0.6521739130434783,0.6086956521739131,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,EWZ,23.0,0.06156839363589701,0.10663233377251835,0.6521739130434783,0.6521739130434783,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,INDA,10.0,0.02728207157092095,0.035400758483935424,0.6,0.4444444444444444,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,KSA,9.0,0.03673548619432614,0.08379720917891298,0.6666666666666666,0.375,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,QAT,10.0,0.039266837320844385,0.06054646978493816,0.7,0.5555555555555556,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,UAE,10.0,0.00536382305444979,0.003413605361815286,0.5,0.1111111111111111,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,63,VNM,15.0,0.014216528607632065,0.024543486090212063,0.6666666666666666,0.2857142857142857,0.025758795214212007,0.05539208184536948,0.782608695652174
-0.05,25.0,126,ECH,23.0,0.12657022712743082,0.11494697245215146,0.7391304347826086,0.5454545454545454,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,EIDO,14.0,0.11709042799782973,0.11741983787606647,0.6428571428571429,0.46153846153846156,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,EPU,16.0,0.21631523909025263,0.18269799793511976,0.8125,0.6666666666666666,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,EWW,23.0,0.13902022305206407,0.1941396263928723,0.782608695652174,0.6956521739130435,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,EWZ,23.0,0.13703180005604337,0.1407921540795618,0.6956521739130435,0.5217391304347826,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,INDA,10.0,0.08174531336839477,0.04210635866039458,0.6,0.4444444444444444,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,KSA,9.0,0.0755958994200357,0.150078838997717,0.6666666666666666,0.5,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,QAT,10.0,0.05974064732975013,0.08214384338747327,0.7,0.3333333333333333,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,UAE,10.0,0.02939520950110518,-0.039946458956605035,0.4,0.2222222222222222,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,126,VNM,15.0,0.07074299099044178,0.10621289077449614,0.6666666666666666,0.5,0.08103181217550659,0.11448520884165658,0.782608695652174
-0.05,25.0,252,ECH,23.0,0.20518918042840675,0.17568934817229898,0.782608695652174,0.5909090909090909,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,EIDO,14.0,0.1723944343768793,0.13162862666174202,0.7857142857142857,0.3076923076923077,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,EPU,16.0,0.23738441119838932,0.2375307377051049,0.875,0.5333333333333333,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,EWW,23.0,0.2114928838637475,0.23160908845409445,0.7391304347826086,0.6521739130434783,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,EWZ,23.0,0.2411213911740276,0.17937156345686867,0.6521739130434783,0.4782608695652174,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,INDA,10.0,0.2073923359009397,0.08693086607485156,0.9,0.4444444444444444,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,KSA,9.0,0.21670240117676343,0.22027064900519866,0.6666666666666666,0.625,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,QAT,10.0,0.10056857274189863,0.13501727095661298,0.7,0.2222222222222222,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,UAE,10.0,0.1311717647511396,0.05554473684785466,0.7,0.3333333333333333,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.05,25.0,252,VNM,15.0,0.05063680044885023,-0.06896216398716104,0.4666666666666667,0.21428571428571427,0.12903211892387548,0.152999096446522,0.8260869565217391
-0.1,25.0,63,ECH,23.0,0.07869732081966256,0.08758868407347564,0.7391304347826086,0.6086956521739131,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,EIDO,15.0,0.03742293372921353,0.007303134641879039,0.6,0.5,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,EPU,16.0,0.11130042048520133,0.10136219012156122,0.6875,0.6,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,EWW,23.0,0.0559336183353071,0.08452495021720585,0.6956521739130435,0.6956521739130435,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,EWZ,23.0,0.10978420815621091,0.12080202456222233,0.7391304347826086,0.6521739130434783,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,INDA,11.0,-0.01837857206679386,0.0014577817524961123,0.5454545454545454,0.4,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,KSA,10.0,-0.01825411740076719,-0.03713271990248984,0.3,0.3333333333333333,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,QAT,11.0,-0.004155399837482012,-0.011445050713870253,0.45454545454545453,0.3,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,UAE,11.0,-0.023162987595829878,-0.04766584948881114,0.18181818181818182,0.3,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,63,VNM,16.0,-0.007799501010081318,0.04454941046945027,0.625,0.2,0.028730669886228893,0.04928208899975495,0.6521739130434783
-0.1,25.0,126,ECH,23.0,0.11584775586307472,0.08796798601959321,0.7391304347826086,0.6521739130434783,0.06608279611777669,0.058332948139670604,0.6956521739130435
