,ECH,EIDO,EPU,EWW,EWZ,INDA,KSA,QAT,UAE,VNM
2006-01-31,,,,,,,,,,
2006-02-28,,,,-0.014160845543720879,-0.003144525318471092,,,,,
2006-03-31,,,,0.0013058070585987291,-0.03057515496874119,,,,,
2006-04-30,,,,0.05633817488069104,0.10763471931986324,,,,,
2006-05-31,,,,-0.1118516611427317,-0.16497187164769878,,,,,
2006-06-30,,,,0.03280482417306474,0.05872823696926943,,,,,
2006-07-31,,,,0.07213995381155902,0.008946837687558107,,,,,
2006-08-31,,,,0.038664358745820415,-0.007600904655394203,,,,,
2006-09-30,,,,0.044476752157511124,-0.01787083771384912,,,,,
2006-11-30,,,,0.038304139728244646,0.05669389482658049,,,,,
2006-12-31,,,,0.07189566161616101,0.0780501419263826,,,,,
2007-01-31,,,,0.023024078288178096,0.008537682443675587,,,,,
2007-02-28,,,,-0.03719215659505348,-0.030264713724177494,,,,,
2007-03-31,,,,0.07032466610235932,0.07420365589665034,,,,,
2007-04-30,,,,0.024430851579917423,0.06785853335521841,,,,,
2007-05-31,,,,0.13568209475870963,0.12804393998200125,,,,,
2007-06-30,,,,-0.015908259982968742,0.035925311431267204,,,,,
2007-07-31,,,,-0.049628255149117506,0.035493151042447435,,,,,
2007-08-31,,,,-0.005783288248139784,-0.03223255552995674,,,,,
2007-09-30,,,,0.005816929226576173,0.19496373193514582,,,,,
2007-11-30,,,,-0.06221730403330217,-0.05432271174285064,,,,,
2007-12-31,-0.016016215914928522,,,-0.016586946756258714,0.011788574983320865,,,,,
2008-01-31,-0.01770621608150158,,,-0.00946422237907485,-0.05216847885946263,,,,,
2008-02-29,0.026619463379405905,,,0.0019831113388411037,0.09203815377383306,,,,,
2008-03-31,0.07676584691600663,,,0.06333193927862224,-0.0778166493306961,,,,,
2008-04-30,-0.02028839628755097,,,-0.011336588357526933,0.17253042286249265,,,,,
2008-05-31,-0.004257381484850442,,,0.07787097000399168,0.09875999703095784,,,,,
2008-06-30,-0.10253625175254222,,,-0.08712415473101753,-0.09381094338680263,,,,,
2008-07-31,0.03700466097256494,,,-0.049876991539332116,-0.09015554515913993,,,,,
2008-08-31,-0.059966010767933176,,,-0.034935527244440046,-0.09675043919227633,,,,,
2008-09-30,-0.107592551918261,,,-0.10610993684139503,-0.232624813974309,,,,,
2008-11-30,-0.027374576857373434,,,-0.048867484528113625,-0.06638334394639944,,,,,
2008-12-31,0.015121246406198718,,,0.11208090012857919,0.04096117290851775,,,,,
2009-01-31,0.12843701521849638,,,-0.14192742153477778,0.014575231598466631,,,,,
2009-02-28,-0.004457538452960708,,,-0.1375947142946723,-0.036619558854515066,,,,,
2009-03-31,0.030447512629520723,,,0.14405347665063406,0.10233956171865377,,,,,
2009-04-30,0.07097385137920353,,,0.14348455556650075,0.19628607042679236,,,,,
2009-05-31,0.19664586234965542,,,0.17605642983353964,0.22394673630812445,,,,,
2009-06-30,0.0334108837126772,,,0.008725842977368004,-0.032355917110697296,,,,,
2009-07-31,0.027593956955778598,,0.09672349008362069,0.10689081198339068,0.08740797184685722,,,,,
2009-08-31,-0.044038585925900486,,0.01763893107230019,0.03995136749571104,0.010590290648983425,,,,,
2009-09-30,0.07617949406487878,,0.1425535412099468,0.029460097841047972,0.16199959067152214,,,,,0.05971275628776351
2009-11-30,0.06816258251862495,,0.0677417867059873,0.09885265728154069,0.11099860554631125,,,,,-0.11177289653282685
2009-12-31,0.0695773411255749,,-0.008137363841490552,0.0307924075099566,0.0073026812244587624,,,,,0.007002849876977413
2010-01-31,0.017886315983387968,,-0.07431240646825887,-0.05872686724832743,-0.13295821185158163,,,,,-0.04080020538920093
2010-02-28,0.0175722211369449,,0.03237568776827526,0.05739105000498079,0.0568868702778349,,,,,0.026993749105349796
2010-03-31,-0.031894234075916184,,0.07359965489256903,0.09724510365744887,0.07708032988252977,,,,,0.001991095041801616
2010-04-30,0.02748472527739665,,0.024626938074359783,-0.007120084066823962,-0.018739836929030806,,,,,0.05763126961476828
2010-05-31,-0.018423481847488765,,-0.022527596089812696,-0.07737311379920941,-0.12095194149393729,,,,,-0.08680957832862035
2010-06-30,0.03198850111632878,0.09312513848903659,-0.004562862900874265,-0.015918199171041203,-0.02258194168196337,,,,,0.026337603354718242
2010-07-31,0.10513334826785692,0.07562004422762203,0.056192603827966314,0.06410493267373263,0.13828192224654146,,,,,0.006014400466308523
2010-08-31,0.07980831543237765,-0.029965563583390087,0.04332514406725907,-0.05631848933715411,-0.0373683427860908,,,,,-0.05579927096699111
2010-09-30,0.09416064765167631,0.15168326906620044,0.17577312751123086,0.10189230553453088,0.13579316831022092,,,,,0.03208136802551498
2010-11-30,0.010417103900990599,-0.07285428154404139,0.019053923881924284,0.02746845981620205,-0.028426708570540304,,,,,0.012924146118030944
2010-12-31,0.03920357479628911,0.046888204426276836,0.061344317113812386,0.052938922592710824,0.07015785936202978,,,,,0.05732210912124058
2011-01-31,-0.10351759526372417,-0.10893478495929265,-0.03792743929588771,-0.018733835912800312,-0.05426356293852774,,,,,0.10771599065531712
2011-02-28,-0.02073995141134477,0.059390855522216235,-0.01816302540150161,0.005925000847639694,0.0146175269751192,,,,,-0.1637933014253511
2011-03-31,0.028048126114093908,0.08663982907111167,-0.03918891343244679,0.028304773454374876,0.04362473057216665,,,,,-0.021443180618199054
