ticker,overall_cagr,overall_vol,max_drawdown,us_down_months,us_down_mean_monthly_ret,us_down_outperf_rate,qual_score_0_1,score
ABQK.QA,0.11263879816340316,0.2152648376816491,-0.3572025519132972,17,0.007678864091203193,0.6470588235294118,,0.11029156086068526
AGUAS-A.SN,0.10245849806071794,0.2284971033727962,-0.610613229132581,32,0.014828125594305939,0.6875,,0.07105237912031385
AHCS.QA,-0.007796432318933344,0.29169898265516087,-0.5883500049991808,17,-0.02019615686141067,0.5294117647058824,,0.005435012584230167
1020.SR,0.08765180992811783,0.31492440879126543,-0.7325269880275977,17,-0.025161099493780235,0.5882352941176471,,0.0036367576155977854
1010.SR,0.12482216506473542,0.28558212140142203,-0.524187830188241,13,-0.033113503430367855,0.38461538461538464,,-0.003205796496238894
0U8N.L,-0.16566055413799663,0.3447840618819847,-0.5560225957245644,10,-0.02221025065480311,0.5,,-0.019937702527533616
0HL8.L,-0.2218521659087611,0.4201364177142665,-0.7193784647694812,6,-0.02472791568818339,0.6666666666666666,,-0.02037801744881712
9IFA.F,-0.00834390522481776,0.3100788714536798,-0.538299321489492,12,-0.0445722083256929,0.4166666666666667,,-0.022573666745231563
