,06L.SG,07K.F,0A6X.L,0A7W.L,0HL8.L,0I3G.L,0TD7.L,0U8N.L,1010.SR,1020.SR,17SA.F,29P.F,29P.MU,9IFA.F,ABQK.QA,AESGENER.SN,AGUAS-A.SN,AHCS.QA
2006-01-31,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,0.0,
2006-03-31,,,,,,,,,,,,,,,,,0.032554721953596655,
2006-04-30,,,,,,,,,,,,,,,,,0.042159813104666766,
2006-05-31,,,,,,,,,,,,,,,,,-0.09090909674047387,
2006-06-30,,,,,,,,,,,,,,,,,0.019444639855708212,
2006-07-31,,,,,,,,,,,,,,,,,0.0027245357581822116,
2006-08-31,,,,,,,,,,,,,,,,,0.06521733128188556,
2006-09-30,,,,,,,,,,,,,,,,,0.01785719492838167,
2006-11-30,,,,,,,,,,,,,,,,,0.15979358529572485,
2006-12-31,,,,,,,,,,,,,,,,,0.06666676450951048,
2007-01-31,,,,,,,,,,,,,,,,,-0.06250008599467904,
2007-02-28,,,,,,,,,,,,,,,,,0.0044443606508295375,
2007-03-31,,,,,,,,,,,,,,,,,0.030973656723773946,
2007-04-30,,,,,,,,,,,,,,,,,0.008583528159966214,
2007-05-31,,,,,,,,,,,,,,,,,0.008442812934966959,
2007-06-30,,,,,,,,,,,,,,,,,0.019736691903029957,
2007-07-31,,,,,,,,,,,,,,,,,-0.010752642962577719,
2007-08-31,,,,,,,,,,,,,,,,,-0.017434454771911967,
2007-09-30,,,,,,,,,,,,,,,,,0.004469205113459385,
2007-11-30,,,,,,,,,,,,,,,,,-0.058749833171782395,
2007-12-31,,,,,,,,,,,,,,,,,-0.11466814493599431,
2008-01-31,,,,,,,,,,,,,,,,,0.03450102957759782,
2008-02-29,,,,,,,,,,,,,,,,,-0.010000264408498438,
2008-03-31,,,,,,,,,,,,,,,,,0.02020219720511718,
2008-04-30,,,,,,,,,,,,,,,,,0.1139109018734139,
2008-05-31,,,,,,,,,,,,,,,,,-0.01795207540696897,
2008-06-30,,,,,,,,,,,,,,,,,-0.06666660169411598,
2008-07-31,,,,,,,,,,,,,,,,,0.010203590313289546,
2008-08-31,,,,,,,,,,,,,,,,,-0.015151080111680648,
2008-09-30,,,,,,,,,,,,,,,,,-0.02564124990524841,
2008-11-30,,,,,,,,,,,,,,,,,0.0564974486174179,
2008-12-31,,,,,,,,,,,,,,,,,-0.07486652328069676,
2009-01-31,,,,,,,,,,,,,,,,,0.12716756549979302,
2009-02-28,,,,,,,,,,,,,,,,,-0.02051273921233676,
2009-03-31,,,,,,,,,,,,,,,,,0.0,
2009-04-30,,,,,,,,,,,,,,,,,0.0732982483359752,
2009-05-31,,,,,,,,,,,,,,,,,0.048780406361021544,
2009-06-30,,,,,,,,,,,,,,,,,0.05716863928996441,
