,SPX,SPX_ret,SPX_6m,VIX_avg,Brent_6m,Gold,US_down,Risk_off,Energy_up
2006-01-31,1278.73,0.013200535627976295,0.06361405697650246,12.036,0.057219340806424546,549.864,False,False,False
2006-02-28,1276.65,-0.0016266139059848417,0.04451662521272426,12.471052631578948,-0.10508982035928138,554.995,False,False,False
2006-03-31,1293.74,0.013386597736262829,0.056744018884723246,11.69391304347826,0.0706645056726094,557.093,False,False,False
2006-04-30,1302.17,0.006515992394144243,0.062198185852258,11.84736842105263,0.23396613648024633,610.653,False,False,True
2006-05-31,1290.01,-0.009338258445517944,0.042541842779443506,14.454545454545455,0.2689201877934271,675.393,False,False,True
2006-06-30,1253.17,-0.0285579181556731,-0.007051906788054452,16.918636363636363,0.2547137470003429,596.145,False,False,True
2006-07-31,1260.24,0.005641692667395448,-0.014459659193105656,15.325999999999999,0.18294033866118053,633.71,False,False,True
2006-08-31,1287.15,0.02135307560464672,0.008224650452355764,13.351739130434783,0.1318166610906657,632.593,False,False,True
2006-09-30,1317.74,0.02376568387522826,0.018550868026033118,12.1845,-0.10551014229488342,598.186,False,False,False
2006-11-30,1388.64,0.053804240593744,0.06640454011381003,10.817619047619049,-0.04750628977356808,627.827,False,False,False
2006-12-31,1416.42,0.020005184929139386,0.09799148843807415,10.9645,-0.19453551912568312,629.791,False,False,False
2007-01-31,1539.66,0.0870080908205193,0.22861223936098063,11.0425,-0.24387959866220732,631.166,False,False,False
2007-02-28,1444.8,-0.06161100502708394,0.14644829556274996,11.155263157894737,-0.12222879101389295,664.745,False,False,False
2007-03-31,1406.95,-0.02619739756367656,0.09307384531717355,15.162727272727272,0.15874090370621086,654.895,False,False,True
2007-04-30,1463.64,0.04029283201250933,0.11071986886639262,12.933000000000002,0.19775521111704975,679.368,False,False,True
2007-05-31,1511.14,0.03245333551966323,0.08821580827284259,13.297727272727274,0.05935363579863284,667.31,False,False,False
2007-06-30,1514.19,0.00201834376695742,0.06902613631549959,14.947619047619046,0.224898236092266,655.66,False,False,True
2007-07-31,1520.71,0.004305932544792945,-0.012307912136445776,17.273333333333333,0.3625265392781316,665.38,False,False,True
2007-08-31,1454.62,-0.043459962780543426,0.006796788482835048,25.02608695652174,0.21720828422293326,665.411,False,True,True
2007-09-30,1497.12,0.029217252615803435,0.06408898681545172,22.198947368421056,0.1825617058565796,712.653,False,False,True
2007-11-30,1463.39,-0.02252992412097876,-0.00017080702905081235,25.58238095238095,0.3011146963919036,806.248,False,True,True
2007-12-31,1479.22,0.010817348758703993,-0.021123125587305003,21.651,0.2971476045416783,803.203,False,False,True
2008-01-31,1378.76,-0.06791417098200403,-0.08944055897872794,25.816190476190474,0.18919620828463835,889.595,True,True,True
2008-02-29,1354.87,-0.01732716353825181,-0.10905432330950682,25.456,0.39576704938442386,922.298,True,True,True
2008-03-31,1316.94,-0.027995305822698713,-0.09465014917985448,27.103500000000004,0.26380140792886264,968.434,True,True,True
2008-04-30,1370.47,0.040647258037571854,-0.08459575718713253,21.562727272727273,0.2364526538333147,909.705,True,False,True
2008-05-31,1403.22,0.023896911278612487,-0.04111685880045657,18.303333333333335,0.4412129410438508,888.663,False,False,True
2008-06-30,1341.25,-0.04416271147788664,-0.09327212990630196,22.11047619047619,0.4773697694278394,889.488,True,False,True
2008-07-31,1257.33,-0.06256849953401677,-0.08807189068438315,24.321818181818184,0.35509936667394615,939.772,True,False,True
2008-08-31,1281.47,0.019199414632594447,-0.0541749392930686,20.695714285714285,0.12477700693756177,839.025,True,False,True
2008-09-30,1216.95,-0.050348427977244814,-0.07592601029659662,30.23857142857143,-0.0860940095768592,829.932,True,True,False
2008-11-30,883.04,-0.27438267800649174,-0.3556663042605822,62.66894736842105,-0.6267500977708251,760.863,True,True,False
2008-12-31,877.56,-0.006205834390288101,-0.3746098259716937,52.405,-0.7411849710982659,816.092,True,True,False
2009-01-31,1067.66,0.21662336478417443,-0.2039813606710158,44.683,-0.6440773569701853,858.69,True,True,False
2009-02-28,805.23,-0.24579922447221025,-0.35957147288301394,45.57052631578947,-0.6086879901312892,943.0,True,True,False
2009-03-31,757.13,-0.059734485799088466,-0.4091707180035429,44.79545454545455,-0.5067365269461077,924.273,True,True,False
2009-04-30,848.15,0.12021713576268267,-0.30305271375159215,38.063809523809525,-0.16166666666666674,890.2,True,True,False
2009-05-31,902.41,0.06397453280669696,0.0219355861569126,31.977999999999998,0.36169321039396496,928.645,False,True,True
2009-06-30,926.12,0.02627408827473099,0.05533524773234877,29.140454545454546,0.9014517029592406,945.67,False,True,True
2009-07-31,935.82,0.010473804690536825,-0.12348500458947609,26.162727272727274,0.5865972379443061,934.228,True,True,True
2009-08-31,1009.73,0.07897886345664751,0.2539647057362493,25.337142857142858,0.5541544697140284,949.375,False,True,True
2009-09-30,1044.55,0.034484466144414805,0.37961776709415807,24.92666666666667,0.4268371992195965,996.591,False,False,True
2009-11-30,1088.07,0.04166387439567276,0.28287449154041133,23.788999999999998,0.19682979378270216,1127.036,False,False,True
2009-12-31,1110.38,0.020504195502127676,0.23046065535621296,21.239545454545453,0.14388489208633093,1134.724,False,False,True
2010-01-31,1123.58,0.011887822186998909,0.21321211074158852,20.643157894736845,0.01598173515981749,1117.963,False,False,False
2010-02-28,1089.16,-0.0306342227522739,0.16385629715116168,22.54,0.1063459866705303,1095.413,False,False,True
