,06L.SG,07K.F,0A6X.L,0A7W.L,0HL8.L,0I3G.L,0TD7.L,0U8N.L,1010.SR,1020.SR,17SA.F,29P.F,29P.MU,9IFA.F,ABQK.QA,AESGENER.SN,AGUAS-A.SN,AHCS.QA
2006-01-31,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,0.0,
2006-03-31,,,,,,,,,,,,,,,,,0.03255465742198971,
2006-04-30,,,,,,,,,,,,,,,,,0.042159754710187736,
2006-05-31,,,,,,,,,,,,,,,,,-0.09090899177555534,
2006-06-30,,,,,,,,,,,,,,,,,0.019444642599725892,
2006-07-31,,,,,,,,,,,,,,,,,0.002724536135333633,
2006-08-31,,,,,,,,,,,,,,,,,0.06521768541445327,
2006-09-30,,,,,,,,,,,,,,,,,0.017857126657204958,
2006-11-30,,,,,,,,,,,,,,,,,0.15979307471469806,
2006-12-31,,,,,,,,,,,,,,,,,0.0666669978270984,
2007-01-31,,,,,,,,,,,,,,,,,-0.06250029105888277,
2007-02-28,,,,,,,,,,,,,,,,,0.004444699839383448,
2007-03-31,,,,,,,,,,,,,,,,,0.030973649761141475,
2007-04-30,,,,,,,,,,,,,,,,,0.008583308249807242,
2007-05-31,,,,,,,,,,,,,,,,,0.008442812934966959,
2007-06-30,,,,,,,,,,,,,,,,,0.019736906276170307,
2007-07-31,,,,,,,,,,,,,,,,,-0.010752535590129675,
2007-08-31,,,,,,,,,,,,,,,,,-0.017435086741384165,
2007-09-30,,,,,,,,,,,,,,,,,0.0044695309831139785,
2007-11-30,,,,,,,,,,,,,,,,,-0.05875023967049808,
2007-12-31,,,,,,,,,,,,,,,,,-0.11466757995630938,
2008-01-31,,,,,,,,,,,,,,,,,0.034500647593402656,
2008-02-29,,,,,,,,,,,,,,,,,-0.009999906081138543,
2008-03-31,,,,,,,,,,,,,,,,,0.02020176812527197,
2008-04-30,,,,,,,,,,,,,,,,,0.11391103382429946,
2008-05-31,,,,,,,,,,,,,,,,,-0.01795228809416427,
2008-06-30,,,,,,,,,,,,,,,,,-0.06666672442005761,
2008-07-31,,,,,,,,,,,,,,,,,0.010204638066824812,
2008-08-31,,,,,,,,,,,,,,,,,-0.0151517587736546,
2008-09-30,,,,,,,,,,,,,,,,,-0.02564130821394628,
2008-11-30,,,,,,,,,,,,,,,,,0.05649726500777508,
2008-12-31,,,,,,,,,,,,,,,,,-0.07486606862406586,
2009-01-31,,,,,,,,,,,,,,,,,0.12716727775560743,
2009-02-28,,,,,,,,,,,,,,,,,-0.020512852452296282,
2009-03-31,,,,,,,,,,,,,,,,,0.0,
2009-04-30,,,,,,,,,,,,,,,,,0.073298372421575,
2009-05-31,,,,,,,,,,,,,,,,,0.048780406361021544,
2009-06-30,,,,,,,,,,,,,,,,,0.05716863928996441,
